epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2047.71,1.18699,0.70265,0.84551,0.93391,0.89791,0.95183,0.6124,1.10339,0.65243,0.83596,0.0004952,0.0004952,0.0004952
40,2103.98,1.16427,0.68056,0.83835,0.92566,0.92005,0.95538,0.64545,1.01814,0.62853,0.8313,0.0004556,0.0004556,0.0004556
41,2157.77,1.12525,0.86494,0.8416,0.9287,0.91513,0.95464,0.63852,1.06168,0.63651,0.83491,0.000416,0.000416,0.000416
42,2212.21,1.06182,0.72085,0.83473,0.93393,0.91021,0.95235,0.65209,1.02432,0.6332,0.83165,0.0003764,0.0003764,0.0003764
43,2266.08,1.01692,0.70704,0.83518,0.92905,0.91802,0.95704,0.65781,1.00523,0.63614,0.82853,0.0003368,0.0003368,0.0003368
44,2319.17,1.01995,0.68256,0.83076,0.9224,0.92106,0.96067,0.65307,0.99703,0.63196,0.828,0.0002972,0.0002972,0.0002972
45,2379.41,1.02294,0.69104,0.82656,0.91948,0.92866,0.9611,0.65306,0.99879,0.62831,0.8275,0.0002576,0.0002576,0.0002576
46,2432.88,1.00327,0.67004,0.82749,0.92413,0.91392,0.9574,0.64467,1.00958,0.62787,0.82774,0.000218,0.000218,0.000218
47,2487.77,1.02989,0.68587,0.82902,0.93582,0.90775,0.9586,0.63508,1.02884,0.63368,0.82854,0.0001784,0.0001784,0.0001784
48,2542.94,0.97581,0.65344,0.83,0.92613,0.91759,0.95966,0.63657,1.031,0.63116,0.82909,0.0001388,0.0001388,0.0001388
49,2598.08,0.99093,0.65083,0.82545,0.93224,0.91882,0.95775,0.64179,1.01641,0.62567,0.82794,9.92e-05,9.92e-05,9.92e-05
50,2654.08,0.98654,0.65983,0.82368,0.93127,0.91669,0.95848,0.6454,1.00767,0.62228,0.82708,5.96e-05,5.96e-05,5.96e-05
